Stock,Sector,Date,Title,Description,Content,Source,URL,summary
RELIANCE.NS,Energy,2025-03-26T10:57:01Z,College students using AI are worried their skills could stagnate. Some feel guilty about heavy use.,Conversations with over a dozen college students across the US revealed fears of developing an over-reliance on AI.,"College students told BI they worried about the effects of relying on AI for coursework, but leaned on the technology to lighten their workload.ljubaphoto/Getty Images
<ul><li>BI talked to more than… [+9050 chars]",Business Insider,https://www.businessinsider.com/how-college-students-use-ai-homework-study-2025-3,Conversations with over a dozen college students across the US revealed fears of developing an over-reliance on AI.
RELIANCE.NS,Energy,2025-03-12T10:03:27Z,India's richest man is giving Elon Musk's Starlink a big boost,"Ambani's Jio Platforms announced that it would bring Starlink into India, opening doors to the world's largest consumer market.","Mukesh Ambani announced a partnership with Elon Musk's SpaceX.SUJIT JAISWAL/AFP via Getty Images, Associated Press
<ul><li>India's richest man, Mukesh Ambani, announced a partnership with Elon Musk'… [+3312 chars]",Business Insider,https://www.businessinsider.com/india-richest-man-mukesh-ambani-elon-musk-starlink-big-boost-2025-3,"Ambani's Jio Platforms announced that it would bring Starlink into India, opening doors to the world's largest consumer market."
RELIANCE.NS,Energy,2025-03-12T02:58:24Z,India's Reliance joins with Musk's Starlink in surprise move,,"If you click 'Accept all', we and our partners, including 238 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+702 chars]",Yahoo Entertainment,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_d15d8996-89aa-48d8-8b6c-8d0ecfcfc7ce,"""Consumers who click 'Accept all' on websites grant permission for 238 IAB Framework partners—and potentially hundreds more—to store and access their device data for tracking and advertising purposes. This practice highlights ongoing privacy concerns as companies expand data collection under consent agreements."""
RELIANCE.NS,Energy,2025-03-18T21:20:00Z,Dutch Parliament Calls For End To Dependence On US Software Companies,The Dutch parliament approved motions urging the government to reduce reliance on U.S. software companies by developing a sovereign cloud platform and reconsidering contracts with American firms. Reuters reports: While such initiatives have foundered in the p…,"While such initiatives have foundered in the past due to a lack of viable European alternatives, lawmakers said changing relations with the United States under the presidency of Donald Trump have giv… [+1050 chars]",Slashdot.org,https://yro.slashdot.org/story/25/03/18/209246/dutch-parliament-calls-for-end-to-dependence-on-us-software-companies,The Dutch parliament approved motions urging the government to reduce reliance on U.S. software companies by developing a sovereign cloud platform and reconsidering contracts with American firms. Reuters reports: While such initiatives have foundered in the p…
RELIANCE.NS,Energy,2025-03-26T13:35:00Z,Shackles Found in Egyptian Gold Mine Reveal the Human Toll of Ancient Wealth,The artifacts reveal the harsh working conditions in ancient Egyptian gold mines under the rule of the Ptolemaic dynasty.,"In the second century BCE, Greek historian and geographer Agatharchides wrote about the severe working conditions of the criminals and prisoners of war who toiled in ancient Egyptian gold mines: And … [+3437 chars]",Gizmodo.com,https://gizmodo.com/shackles-found-in-egyptian-gold-mine-reveal-the-human-toll-of-ancient-wealth-2000580667,The artifacts reveal the harsh working conditions in ancient Egyptian gold mines under the rule of the Ptolemaic dynasty.
RELIANCE.NS,Energy,2025-03-11T17:00:59Z,Meta Is Ready to Rock Nvidia’s Boat With Its In-House AI Chip,"Gradually, then suddenly, the big tech companies are replacing Nvidia's pricey AI chips.","The adage goes, “your arbitrage is my opportunity,” and could be used to sum up Meta’s push into building an in-house chip for AI training tasks. Reutersreports the company recently began a small dep… [+3250 chars]",Gizmodo.com,https://gizmodo.com/meta-is-ready-to-rock-nvidias-boat-with-its-in-house-ai-chip-2000574428,"Gradually, then suddenly, the big tech companies are replacing Nvidia's pricey AI chips."
RELIANCE.NS,Energy,2025-03-26T09:42:02Z,Trump adviser Mike Waltz takes 'full responsibility' for Signal group chat leak,But the US national security adviser said he could not explain how a journalist was added to a chat discussing air strikes in Yemen.,US National Security Adviser Mike Waltz has taken responsibility for a group chat in which high-ranking officials planned military strikes in Yemen in the company of a journalist who was inadvertentl… [+3833 chars],BBC News,https://www.bbc.com/news/articles/cvg12ewv7xyo,But the US national security adviser said he could not explain how a journalist was added to a chat discussing air strikes in Yemen.
RELIANCE.NS,Energy,2025-03-11T15:12:14Z,QuickBooks Adds Support for Tap to Pay on iPhone,"Intuit QuickBooks today announced Tap to Pay on iPhone for QuickBooks Online customers in the United States, allowing small and mid-market businesses to accept in-person contactless payments without additional hardware.





The feature integrates with the Qu…","Intuit QuickBooks today announced Tap to Pay on iPhone for QuickBooks Online customers in the United States, allowing small and mid-market businesses to accept in-person contactless payments without … [+947 chars]",MacRumors,https://www.macrumors.com/2025/03/11/quickbooks-adds-tap-to-pay-on-iphone/,"Intuit QuickBooks today announced Tap to Pay on iPhone for QuickBooks Online customers in the United States, allowing small and mid-market businesses to accept in-person contactless payments without additional hardware.





The feature integrates with the Qu…"
RELIANCE.NS,Energy,2025-03-18T00:44:56Z,All Four iPhone 17 Models Again Rumored to Feature Apple-Designed Wi-Fi 7 Chip,"All four iPhone 17 models will feature an Apple-designed Wi-Fi 7 chip, according to Jeff Pu, an analyst who covers companies within Apple's supply chain.





In a research note with investment firm GF Securities today, Pu said he believes that the Wi-Fi 7 ch…","All four iPhone 17 models will feature an Apple-designed Wi-Fi 7 chip, according to Jeff Pu, an analyst who covers companies within Apple's supply chain.
In a research note with investment firm GF S… [+1255 chars]",MacRumors,https://www.macrumors.com/2025/03/17/iphone-17-series-apple-wifi-7-chip/,"All four iPhone 17 models will feature an Apple-designed Wi-Fi 7 chip, according to Jeff Pu, an analyst who covers companies within Apple's supply chain.





In a research note with investment firm GF Securities today, Pu said he believes that the Wi-Fi 7 ch…"
RELIANCE.NS,Energy,2025-03-23T11:40:00Z,Solar-Powered Transportation & The Eco-Friendly Revolution Taking Over,"Solar-Powered Transportation & The Eco-Friendly Revolution Taking OverSolar energy is increasingly being utilized in the future of transportation to promote sustainable mobility, reducing reliance on non-renewable fossil fuels while meeting energy demands....","Solar energy is increasingly being utilized in the future of transportation to promote sustainable mobility, reducing reliance on non-renewable fossil fuels while meeting energy demands. It is alread… [+10809 chars]",Yanko Design,https://www.yankodesign.com/2025/03/23/solar-powered-transportation-the-eco-friendly-revolution-taking-over/,"Solar-Powered Transportation & The Eco-Friendly Revolution Taking OverSolar energy is increasingly being utilized in the future of transportation to promote sustainable mobility, reducing reliance on non-renewable fossil fuels while meeting energy demands...."
